id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles
75113_4162_00032;75113_4162;32;;Rue Gérard;75013;75113;Paris 13e Arrondissement;;;652478.29;6859057.21;2.352659;48.829819;parcelle;;;PARIS;RUE GERARD;commune;commune;0;
75113_4162_00033;75113_4162;33;;Rue Gérard;75013;75113;Paris 13e Arrondissement;;;652476.1;6859040.54;2.352631;48.829669;parcelle;;;PARIS;RUE GERARD;commune;commune;0;
75113_4162_00034;75113_4162;34;;Rue Gérard;75013;75113;Paris 13e Arrondissement;;;652473.5;6859046.57;2.352595;48.829723;parcelle;;;PARIS;RUE GERARD;commune;commune;0;
75113_4162_00035;75113_4162;35;;Rue Gérard;75013;75113;Paris 13e Arrondissement;;;652469.35;6859033.04;2.35254;48.829601;parcelle;;;PARIS;RUE GERARD;commune;commune;0;
75113_4162_00036;75113_4162;36;;Rue Gérard;75013;75113;Paris 13e Arrondissement;;;652466.88;6859044.29;2.352505;48.829702;parcelle;;;PARIS;RUE GERARD;commune;commune;0;
75113_4162_00037;75113_4162;37;;Rue Gérard;75013;75113;Paris 13e Arrondissement;;;652461.28;6859023.87;2.352431;48.829518;parcelle;;;PARIS;RUE GERARD;commune;commune;0;
75113_4162_00038;75113_4162;38;;Rue Gérard;75013;75113;Paris 13e Arrondissement;;;652463.25;6859040.2;2.352456;48.829665;parcelle;;;PARIS;RUE GERARD;commune;commune;0;
75113_4162_00039;75113_4162;39;;Rue Gérard;75013;75113;Paris 13e Arrondissement;;;652454.31;6859016.15;2.352337;48.829448;parcelle;;;PARIS;RUE GERARD;commune;commune;0;
75113_4162_00040;75113_4162;40;;Rue Gérard;75013;75113;Paris 13e Arrondissement;;;652457.84;6859034.13;2.352383;48.82961;parcelle;;;PARIS;RUE GERARD;commune;commune;0;
75113_4162_00041;75113_4162;41;;Rue Gérard;75013;75113;Paris 13e Arrondissement;;;652447.64;6859008.53;2.352247;48.829379;parcelle;;;PARIS;RUE GERARD;commune;commune;0;
75113_4162_00042;75113_4162;42;;Rue Gérard;75013;75113;Paris 13e Arrondissement;;;652451.31;6859026.74;2.352295;48.829543;parcelle;;;PARIS;RUE GERARD;commune;commune;0;
75113_4162_00043;75113_4162;43;;Rue Gérard;75013;75113;Paris 13e Arrondissement;;;652441.57;6859001.8;2.352165;48.829318;parcelle;;;PARIS;RUE GERARD;commune;commune;0;
75113_4162_00044;75113_4162;44;;Rue Gérard;75013;75113;Paris 13e Arrondissement;;;652447.24;6859022.21;2.35224;48.829502;parcelle;;;PARIS;RUE GERARD;commune;commune;0;
75113_4162_00045;75113_4162;45;;Rue Gérard;75013;75113;Paris 13e Arrondissement;;;652437.05;6858996.72;2.352104;48.829272;parcelle;;;PARIS;RUE GERARD;commune;commune;0;
75113_4162_00046;75113_4162;46;;Rue Gérard;75013;75113;Paris 13e Arrondissement;;;652438.37;6859014.94;2.35212;48.829436;parcelle;;;PARIS;RUE GERARD;commune;commune;0;
75113_4162_00047;75113_4162;47;;Rue Gérard;75013;75113;Paris 13e Arrondissement;;;652430.51;6858987.65;2.352016;48.82919;parcelle;;;PARIS;RUE GERARD;commune;commune;0;
75113_4162_00048;75113_4162;48;;Rue Gérard;75013;75113;Paris 13e Arrondissement;;;652431.55;6859007.22;2.352028;48.829366;parcelle;;;PARIS;RUE GERARD;commune;commune;0;
