locatumId,relatumId,landmarkRelationType,dateStartStamp,dateStartPrec,dateStartCal,dateEndStamp,dateEndPrec,dateEndCal,statement,statementType
http://www.wikidata.org/entity/Q3452548,http://www.wikidata.org/entity/Q90,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3452548-C9726D37-84D3-464D-B7D5-24C2F2A73C5F,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3452548,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3452548-3D74C7EB-7175-4D20-A298-AAC2369EFE12,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3452548,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3452548-7FD24F79-F30E-4F69-A3C4-6A468D2BB3BA,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3448254,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3448254-3149D65F-9B4A-4D5C-99EB-7D9A47481FB6,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3448254,http://www.wikidata.org/entity/Q90,Within,,,,,,,http://www.wikidata.org/entity/statement/q3448254-46B567EA-DF8B-487A-BAC2-B73168A1F542,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q2838784,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q2838784-355FA15B-F14C-472A-B969-F1803C3ADC84,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q2838784,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q2838784-D6BE7682-2CE0-4354-822F-A0CEB9AC4A6E,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q2873917,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q2873917-A84485C6-DA55-477C-BE64-AD612262BF99,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q2874054,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q2874054-8E488BD2-45AE-4568-9C48-7889F2C07876,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q2921883,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q2921883-0AD1F7C1-A974-4682-AB5B-6894ABB74E6D,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q2921883,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q2921883-6C718177-A80C-4191-BF77-422473C7FD67,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3149196,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3149196-63190CF6-2DB5-48B3-969B-C6C37A4E6CEA,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3390261,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3390261-36335B73-B20C-46C1-8612-37246B652180,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3390276,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3390276-B38941DF-422E-4986-B11D-0BA65D6436FF,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3390281,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3390281-F5DEBC2D-BA9E-475E-BBBC-76B83A434D30,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3390261,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3390261-8490A9EF-00FE-432D-9315-A2045AC7C126,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3390281,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3390281-E7879BB4-CA09-4A17-9771-CC1F90CA0435,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q2371938,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q2371938-D803BE2B-6399-4A69-9E7A-E126B4EE84EA,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q2371938,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q2371938-134135BD-7F08-4043-928D-15C8E3A74F21,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q2307722,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/Q2307722-7f27bdb4-470d-5ff4-4b4b-5f134b38d5e5,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3446856,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3446856-B7289B81-8EA2-4D8C-A1F1-3DD19C62B4FA,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3446965,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3446965-3CE36561-E699-453E-B1C7-81799F4E73FC,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3412634,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3412634-FEFA2759-FA34-4AB2-9E1C-334A8585F738,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3413195,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3413195-A2213981-E4E7-41BF-BAAD-88121E9C974B,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3413210,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3413210-5AD572A5-8D77-4190-B1E5-4441047F333C,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3446856,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3446856-766DDF8F-7399-4A48-92F6-4A8D0F67B72B,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3446864,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3446864-9901EAD8-D864-4DA3-B57F-8F832C2676FD,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3446965,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3446965-6DFCA83A-F003-4FFF-8D92-B74F60EC5FA6,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3447817,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3447817-3717C0B7-F54F-45E6-9FD6-CE0D9A12DDC6,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3447817,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3447817-C9719845-1580-495F-8B98-1559BC9F7333,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3447888,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3447888-E455B93A-3835-4DAB-88E5-73C547744353,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3447940,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3447940-75540B09-7B72-4A29-A9BE-65C139B3D83D,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3447963,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3447963-93D589A7-D60C-4A2F-88F0-A43B8350393C,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3448150,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3448150-59B5130B-01FB-469E-BF9C-50EEAD3E303C,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3447402,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3447402-BC70790F-9898-4F2D-B63A-16F6A5FA47EC,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3447617,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3447617-8B97706F-5352-4046-9EF1-B367809C91B1,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3447779,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3447779-F51FCE19-ECBF-4AF0-998A-14BD17CD8F5D,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3447249,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3447249-7377D466-1E9A-4E87-81DA-728B5140FBDE,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3447125,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3447125-3526057D-2947-4A5C-BD85-A33D8DF3D6DE,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3447249,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3447249-2B29F5A6-355C-499E-8762-F3EDE789C82F,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3447252,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3447252-BB8200E2-2486-425B-9A8A-522FBC90FD65,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3448302,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3448302-3535E358-62B9-47E7-AB79-BAE2ADD0E686,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3448302,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3448302-3DEB06F1-7D40-41CB-AC0A-4F1840C8C764,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3448429,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3448429-5A449490-9E54-46B1-A432-4878C414039D,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3448456,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3448456-1E3589BF-9B32-4D2E-89A6-9DD411D15379,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3448550,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3448550-E98B46D2-90F1-4615-A436-F69F514133D2,http://wikiba.se/ontology#Statement
